lesson_id,segment_order,start_seconds,end_seconds,speaker,transcript,prompt_vi,prompt_en,target_phrases,hint_phrase,hint_type,hint_vi,hint_en,vocabulary_terms,vocabulary_vi,vocabulary_en,status
"bbc-6min-are-you-following-your-dreams-26prgj","1","7.778","12.131","Speaker","Hello. This is 6 Minute English from BBC Learning English. I’m Neil.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","2","12.311","17.54","Speaker","And I’m Beth. When I was a boy, I wanted to be a fireman when I grew up.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","3","17.72","28.74","Speaker","How about you, Beth? Did you have any childhood dreams? I wanted to be an astronaut and fly to the Moon… When we’re young most of us have big dreams and plans for the future.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","4","28.92","38.339","Speaker","Unfortunately, as we grow up these childhood dreams often get lost in the adult world of jobs, money, families and careers.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","5","38.519","47.879","Speaker","But not for everyone… Daisy, from New Zealand, and, Herman, from Argentina are two people who decided to follow their childhood dreams.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","6","48.059","56.67","Speaker","They wanted the world to become a utopia – a perfect, ideal society where everyone is happy and gets along with each other.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","7","56.85","66.07","Speaker","In this programme, we’ll be hearing how Daisy and Herman made their dreams come true – not by changing the world, but by changing themselves.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","8","66.25","70.25","Speaker","And, as usual, we’ll be learning some new vocabulary too.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","9","70.43","82.1","Speaker","But before that I have a question for you, Beth. Following your dreams can be tough, but not following them can leave you regretting all the things you wanted to do but didn’t.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","10","82.28","92.52","Speaker","In 2012, Australian nurse, Bronnie Ware, wrote her bestselling book, The Top Five Regrets of the Dying, after interviewing terminally ill patients about their life regrets.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","11","92.7","99.77","Speaker","So, what do you think their top regret was? Was it: a) I wish I hadn’t worked so hard?","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","12","99.95","104.96","Speaker","b) I wish I had followed my dreams? or c) I wish I’d made more money?","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","13","105.14","109.4","Speaker","Well, I’ll guess it’s b) they wish they had followed their dreams.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","14","109.58","113.57","Speaker","OK, Beth. I’ll reveal the correct answer at the end of the programme.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","15","113.75","122.61","Speaker","The first dreamer we’re going to meet lives in Riverside, a peace-loving community in New Zealand where everyone shares everything.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","16","122.79","129.93","Speaker","Riverside members work for the community’s businesses, including a farm, a hotel and a café.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","17","130.11","134.6","Speaker","All the money they earn is collected and shared between everyone equally.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","18","134.78","140","Speaker","Daisy, who was born in East Germany, joined Riverside in 2004.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","19","140.18","146.38","Speaker","Here she explains her belief in sharing to BBC World Service programme, The Documentary.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","20","146.56","160.639","Speaker","What I think I always believed in is that the sharing of resources can provide a group of people with quite a great advantage, but it doesn’t matter how many hours you work or what work you do, everyone is getting the same amount.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","21","160.819","174.669","Speaker","And that is something that many people outside of Riverside struggle with, and where we’re often getting this ‘communism’ label attached to us, because it’s so… it seems so outlandish for people.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","22","174.849","182.02","Speaker","Riverside isn’t a communist community. In fact, people with many different political views live there.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","23","182.2","187.849","Speaker","But Daisy says that local people struggle with the idea that everything is shared.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","24","188.029","193.319","Speaker","If you struggle with an idea, you find it difficult to accept or think about it.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","25","193.499","200.119","Speaker","Daisy also says some local people call Riverside outlandish – strange and unusual.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","26","200.299","204.55","Speaker","Our second group of dreamers are a family - the Zapps.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","27","204.73","218.68","Speaker","In 2000, childhood sweethearts, Herman and Candelaria Zapp, bought a vintage car and set off from Argentina to travel around the world with less than 3.500 dollars in their pockets.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","28","218.86","228.869","Speaker","Twenty-two years and three children later they have visited over a hundred countries, meeting with countless people and experiences on the way.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","29","229.049","236.959","Speaker","Here, Herman Zapp explains to BBC World Service’s, The Documentary, how following his dream has changed him for the better.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","30","237.139","246.019","Speaker","I am so happy with the Herman there is now, that I know now – not the one who wanted to conquer the world, but the one who was conquered by the world.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","31","246.199","263.26","Speaker","I learn so much from people, and it’s amazing how the more you meet people, the more you know stories, how much more humble you become because you notice that you are a beautiful, tiny piece of sand, but a very important piece of sand like everyone is, right?","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","32","263.44","272.58","Speaker","After many years travelling, meeting new people and hearing their stories, Herman is more humble – not proud or arrogant.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","33","272.76","280.86","Speaker","He no longer wants to conquer the world – to control it by force; rather, he has been conquered by his experiences.","","","","","","","","","","","approved"
