lesson_id,segment_order,start_seconds,end_seconds,speaker,transcript,prompt_vi,prompt_en,target_phrases,hint_phrase,hint_type,hint_vi,hint_en,vocabulary_terms,vocabulary_vi,vocabulary_en,status
"bbc-6min-improving-your-memory-we4kis","1","6.78","17.72","Speaker","Neil: Hello and welcome to 6 Minute English, I'm Neil. This is the programme where in just six minutes we discuss an interesting topic and teach some related English vocabulary. And joining me to do this is Rob.","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","2","17.9","22.08","Speaker","Rob: Hello... err sorry Neil, how long did you say this programme is?","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","3","22.26","24.829","Speaker","Neil: Six minutes ... it's 6 Minute English, Rob.","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","4","25.009","27.46","Speaker","Rob: Right. OK. Sorry, what's your name again?","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","5","27.64","31.159","Speaker","Neil: Neil! My name is Neil, Rob. What's happened to your memory?!","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","6","31.34","40.8","Speaker","Rob: Sorry, Neil - too many things on my mind, it's affecting my short-term memory, but what I can remember is that in this programme we're talking about improving our memory.","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","7","40.98","52.98","Speaker","Neil: We are and I think you might find it quite useful! Storing information is an important function of our brains and scientists are always looking at ways to improve it but also to stop it deteriorating - or becoming worse.","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","8","53.16","64.36","Speaker","Rob: Yes, and we all know that memories - that's the noun for things we remember from the past - are nice to have but also important for remembering who people are, where things are kept and how things look.","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","9","64.54","70.502","Speaker","Neil: Soon we'll be discussing a new idea for improving your memory but not before I've set today's quiz question.","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","10","70.682","76.56","Speaker","There are many ways we can improve our memory but one way is through the type of food we eat.","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","11","76.74","85.5","Speaker","According to the BBC Food website, which type of food supports good memory function? Is it... a) eggs, b) spinach, or c) bananas?","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","12","85.68","93.479","Speaker","Rob: Well, as a kid I was always told that spinach was good for me - Popeye ate it to make him strong - so I'll say b) spinach.","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","13","93.66","99.78","Speaker","Neil: Well, I'll have the answer later on. Now, let's talk more about improving our memory.","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","14","99.96","110.18","Speaker","Memory is the ability to encode, store and recall information but a number of factors can affect people's memory processes including health, anxiety, mood, stress and tiredness.","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","15","110.36","120.729","Speaker","Rob: That's why, for example, if you're taking an exam it's important to get a good night's sleep and to keep healthy. But Neil, when you're revising for an exam, what helps you to remember facts?","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","16","120.909","123.91","Speaker","Neil: I tend to write things down again and again and again and again.","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","17","124.09","140.28","Speaker","Rob: Well, that's one way. But people have different styles to help them remember. According to the BBC's iWonder guide, there are three different styles - visual, auditory and kinaesthetic, that's learning by 'doing' and practicing something over and over again. That sounds like me.","","","","","","","","","","","approved"
"bbc-6min-improving-your-memory-we4kis","18","140.46","147.66","Speaker","Neil: But recently, a new study has come up with a method that could possibly be the best way to improve your memory and that's by drawing.","","","","","","","","","","","approved"
